lat,lon
34.172318, 108.812606
34.172291, 108.813089
34.172309, 108.813807
34.172291, 108.814676
34.172300, 108.815878
34.172300, 108.816929
34.172291, 108.817616
34.172291, 108.818142
34.172309, 108.818357
34.172389, 108.818636
34.172380, 108.819537
34.172398, 108.820674
34.172362, 108.821725
34.172362, 108.822519
34.172344, 108.823356
34.172335, 108.824000
34.172335, 108.825459
34.172317, 108.827669
34.172308, 108.828549
34.172290, 108.829987
34.172281, 108.831382
34.172290, 108.832423
34.172281, 108.832895
34.172263, 108.833614
34.172254, 108.834859
34.172245, 108.836779
34.172227, 108.838013
34.172191, 108.839365
34.172200, 108.841243
34.172164, 108.843045
34.172137, 108.845030
34.172128, 108.846242
34.172110, 108.847379
34.172092, 108.848420
34.172074, 108.849611
34.172056, 108.850695
34.172038, 108.851757
34.172020, 108.852969
34.171993, 108.854407
34.171993, 108.855834
34.171966, 108.856553
34.171939, 108.858098
34.171886, 108.859890
34.171883, 108.860972
34.171874, 108.862914
34.171856, 108.863976
34.171803, 108.865339
34.171812, 108.866852
34.171759, 108.868987
34.171723, 108.870360
34.171705, 108.871712
34.171687, 108.873193
34.171651, 108.875167
34.171633, 108.876358
34.171606, 108.877485
34.171579, 108.878837
34.171561, 108.880060
34.171543, 108.881337
34.171525, 108.883000
34.171516, 108.884878
34.171507, 108.886520
34.171471, 108.888290
34.171427, 108.890511
34.171391, 108.892850
34.171373, 108.895253
34.171337, 108.897721
34.171293, 108.900124
34.171266, 108.902656
34.171230, 108.905091
34.171186, 108.908235
34.171142, 108.910188
34.171142, 108.911497
34.171391, 108.912784
34.171844, 108.915005
34.172252, 108.917119
34.172421, 108.917934
34.172634, 108.919028
34.172803, 108.920004
34.172901, 108.921238
34.172892, 108.922536
34.172794, 108.924285
34.172714, 108.926227
34.172705, 108.927257
34.172643, 108.929360
34.172528, 108.931999
34.172421, 108.934349
34.172385, 108.935744
34.172536, 108.937428
34.172731, 108.939295
34.172749, 108.941108
34.172793, 108.942996
34.172838, 108.944809
